2, 861, 692.9200, 496.6610, 17507.8711, 712.9180, 516.6590, 17507.8711, 0.4407, 659.0000, 407.0000, 746.8380, 606.3200
2, 860, 830.8705, 439.2795, 2582.8035, 850.8686, 459.2775, 2582.8035, 0.4407, 824.0010, 411.0000, 857.7380, 487.5570
2, 857, 584.9196, 496.6620, 17502.7793, 604.9176, 516.6600, 17502.7793, 0.4407, 551.0059, 407.0156, 638.8312, 606.3065
2, 856, 1013.7260, 451.3710, 97655.0156, 1033.7240, 471.3690, 97655.0156, 0.4407, 920.0000, 226.0000, 1127.4500, 696.7400
2, 855, 848.3633, 450.6679, 3059.7637, 868.3614, 470.6659, 3059.7637, 0.4407, 840.0023, 419.0036, 876.7225, 502.3301
2, 854, 737.7393, 483.5572, 10332.9795, 757.7373, 503.5552, 10332.9795, 0.4407, 713.9980, 416.9937, 781.4786, 570.1188
2, 853, 1382.9209, 482.6602, 17504.8789, 1402.9189, 502.6582, 17504.8789, 0.4407, 1349.0048, 393.0075, 1436.8351, 592.3109
2, 852, 1175.0635, 455.5249, 3653.8196, 1195.0615, 475.5229, 3653.8196, 0.4407, 1164.9991, 419.9954, 1205.1259, 511.0524
2, 851, 398.0014, 444.5014, 1534.0000, 417.9994, 464.4994, 1534.0000, 0.4407, 395.0004, 425.0004, 421.0004, 484.0004
2, 850, 1489.9344, 495.8052, 12382.4424, 1509.9325, 515.8032, 12382.4424, 0.4407, 1462.9983, 421.9918, 1536.8684, 589.6166
2, 849, 806.0016, 448.5005, 1534.6287, 825.9996, 468.4985, 1534.6287, 0.4407, 802.9980, 428.9934, 829.0033, 488.0057
2, 848, 489.9330, 506.8060, 12380.3447, 509.9310, 526.8040, 12380.3447, 0.4407, 463.0000, 433.0000, 536.8640, 600.6100
3, 866, 281.7110, 519.6460, 41613.2109, 301.7090, 539.6440, 41613.2109, 0.4407, 224.0000, 376.0000, 359.4200, 683.2900
3, 865, 386.1524, 445.1133, 1817.3860, 406.1504, 465.1113, 1817.3860, 0.4407, 382.0015, 423.0028, 410.3013, 487.2218
3, 864, 1193.8695, 454.2795, 2582.8035, 1213.8676, 474.2775, 2582.8035, 0.4407, 1187.0000, 426.0000, 1220.7371, 502.5570
3, 861, 691.4570, 487.6193, 14637.1230, 712.5677, 508.7299, 14637.1230, 0.4407, 661.8552, 407.0506, 742.1696, 589.2986
3, 860, 825.0359, 438.7232, 2582.8035, 846.1465, 459.8338, 2582.8035, 0.4407, 818.7228, 411.0000, 852.4597, 487.5570
3, 857, 584.5851, 495.5413, 17750.8359, 605.6957, 516.6520, 17750.8359, 0.4407, 550.9177, 405.7475, 639.3632, 606.4457
3, 856, 1008.3862, 469.1689, 82113.3281, 1029.4968, 490.2796, 82113.3281, 0.4407, 923.8284, 263.8939, 1114.0548, 695.5547
3, 855, 844.9794, 448.5998, 2628.2302, 866.0900, 469.7104, 2628.2302, 0.4407, 838.5186, 420.5414, 872.5509, 497.7687
